County,State,mean_life_expectancy,State_FIPS,County_FIPS,housing_cost_burden
Bingham County,Idaho,78.1957286355338,16,011,157
Blaine County,Idaho,84.3719498430769,16,013,213
Boise County,Idaho,81.2739482119467,16,015,35
Bonner County,Idaho,78.9410676420792,16,017,475
Bonneville County,Idaho,78.536758713297,16,019,880
Boundary County,Idaho,78.0278088967513,16,021,40
Butte County,Idaho,78.8736282215021,16,023,11
Camas County,Idaho,81.1922864605902,16,025,15
Canyon County,Idaho,79.0552409857648,16,027,2001
Caribou County,Idaho,78.3590804305647,16,029,31
Cassia County,Idaho,78.1489047977562,16,031,115
Clearwater County,Idaho,78.3065897692389,16,035,58
Custer County,Idaho,80.7548702583805,16,037,19
Elmore County,Idaho,78.3116981956039,16,039,237
Franklin County,Idaho,79.7813378741643,16,041,89
Fremont County,Idaho,79.5370839143604,16,043,32
Gem County,Idaho,78.34011101866,16,045,101
Gooding County,Idaho,78.0235315812131,16,047,118
Idaho County,Idaho,79.2143775883952,16,049,80
Jefferson County,Idaho,79.9127050009559,16,051,71
Jerome County,Idaho,78.407725190056,16,053,239
Kootenai County,Idaho,79.2388331967563,16,055,1412
Latah County,Idaho,80.8834822220305,16,057,685
Lemhi County,Idaho,78.9991283718338,16,059,75
Lewis County,Idaho,78.5657450603545,16,061,10
Lincoln County,Idaho,78.2816226649995,16,063,24
Madison County,Idaho,81.0434566426995,16,065,380
Minidoka County,Idaho,78.4770759003077,16,067,131
Nez Perce County,Idaho,77.6766156975419,16,069,465
Oneida County,Idaho,79.4092427309321,16,071,22
Owyhee County,Idaho,78.6661103536176,16,073,44
Payette County,Idaho,78.3464073685756,16,075,231
Power County,Idaho,77.9657281647991,16,077,26
Shoshone County,Idaho,75.7228450883277,16,079,162
Teton County,Idaho,82.6277300654122,16,081,102
Twin Falls County,Idaho,77.9131501699993,16,083,617
Valley County,Idaho,82.1847032243004,16,085,121
Washington County,Idaho,78.5126783615283,16,087,111
Adams County,Illinois,78.3489124357671,17,001,594
Alexander County,Illinois,73.7575887141434,17,003,47
Bond County,Illinois,78.2406839106156,17,005,46
Boone County,Illinois,79.5470261403817,17,007,401
Brown County,Illinois,78.5320218461636,17,009,20
Bureau County,Illinois,78.8726155769582,17,011,225
Calhoun County,Illinois,79.3900321496443,17,013,26
Carroll County,Illinois,78.7684174153591,17,015,93
Cass County,Illinois,77.1290717398139,17,017,77
Champaign County,Illinois,80.4897842649458,17,019,2621
Christian County,Illinois,77.3329401854685,17,021,254
Clark County,Illinois,77.0048377770082,17,023,131
Clay County,Illinois,76.9555548965121,17,025,39
Clinton County,Illinois,79.3993350580809,17,027,166
Coles County,Illinois,77.9843163605551,17,029,584
Cook County,Illinois,79.0496552966331,17,031,65049
Crawford County,Illinois,77.545475568063,17,033,96
Cumberland County,Illinois,78.4724456722611,17,035,29
DeKalb County,Illinois,79.672980108982,17,037,1013
De Witt County,Illinois,77.2194062501798,17,039,123
Douglas County,Illinois,78.7938733001023,17,041,72
DuPage County,Illinois,81.9381835278837,17,043,7969
Edgar County,Illinois,76.8116794940531,17,045,113
Edwards County,Illinois,76.7260928473027,17,047,54
Effingham County,Illinois,78.3468967206024,17,049,241
Fayette County,Illinois,78.5261048545,17,051,99
Ford County,Illinois,76.6670484113413,17,053,39
Franklin County,Illinois,74.8161855865432,17,055,322
Fulton County,Illinois,77.1574269694275,17,057,400
Gallatin County,Illinois,74.6583494791198,17,059,48
Greene County,Illinois,77.5129410739514,17,061,46
Grundy County,Illinois,78.5373310140172,17,063,232
Hamilton County,Illinois,77.0769493893911,17,065,20
Hancock County,Illinois,79.65909407034,17,067,90
Hardin County,Illinois,74.7977903044342,17,069,39
Henderson County,Illinois,78.8020714215288,17,071,27
Henry County,Illinois,79.0275752070742,17,073,362
Iroquois County,Illinois,76.9651673717261,17,075,182
Jackson County,Illinois,78.0098337728233,17,077,834
Jasper County,Illinois,79.0834142293583,17,079,46
Jefferson County,Illinois,76.7655532681683,17,081,235
Jersey County,Illinois,77.5245409113854,17,083,244
Jo Daviess County,Illinois,80.8742350779271,17,085,208
Johnson County,Illinois,77.9446231523655,17,087,60
Kane County,Illinois,80.9379343303043,17,089,3729
Kankakee County,Illinois,77.2644121145009,17,091,769
Kendall County,Illinois,81.1337839875047,17,093,469
Knox County,Illinois,77.073253373246,17,095,645
Lake County,Illinois,81.2448762524699,17,097,5278
LaSalle County,Illinois,77.4715669625332,17,099,672
Lawrence County,Illinois,75.6205418035559,17,101,171
Lee County,Illinois,78.3968582750062,17,103,283
Livingston County,Illinois,77.7454009430223,17,105,219
Logan County,Illinois,77.5413705352449,17,107,201
McDonough County,Illinois,79.3356685759066,17,109,282
McHenry County,Illinois,80.1096734909612,17,111,1683
McLean County,Illinois,80.0641334232381,17,113,1293
Macon County,Illinois,77.6103774706962,17,115,1015
Macoupin County,Illinois,77.6429466441172,17,117,293
Madison County,Illinois,77.3246295277805,17,119,2079
Marion County,Illinois,75.4868366424632,17,121,299
Marshall County,Illinois,77.5453047115191,17,123,80
Mason County,Illinois,76.7561989284825,17,125,61
Massac County,Illinois,75.4981925111284,17,127,135
Menard County,Illinois,78.5152034041841,17,129,48
Mercer County,Illinois,78.9615382858566,17,131,96
Monroe County,Illinois,80.3247810769711,17,133,225
Montgomery County,Illinois,77.6000517731715,17,135,168
Morgan County,Illinois,78.153885615653,17,137,375
Moultrie County,Illinois,77.6704814357092,17,139,102
Ogle County,Illinois,79.2423429726647,17,141,298
Peoria County,Illinois,77.5888781097316,17,143,2161
Perry County,Illinois,77.2508582738569,17,145,87
Piatt County,Illinois,79.4072548967904,17,147,67
Pike County,Illinois,78.2994122036603,17,149,96
Pope County,Illinois,78.0261557444892,17,151,24
Pulaski County,Illinois,74.6925595665263,17,153,46
Putnam County,Illinois,79.4761962910542,17,155,16
Randolph County,Illinois,77.6309057233618,17,157,183
Richland County,Illinois,77.7363584249074,17,159,70
Rock Island County,Illinois,78.5170956987508,17,161,1357
Saint Clair County,Illinois,76.7161753601221,17,163,3022
Saline County,Illinois,73.9857289262721,17,165,189
Sangamon County,Illinois,78.1996583207706,17,167,1996
Schuyler County,Illinois,78.4476751147837,17,169,68
Scott County,Illinois,77.8723775429143,17,171,16
Shelby County,Illinois,79.4160538287933,17,173,124
Stark County,Illinois,77.4065663980925,17,175,18
Stephenson County,Illinois,79.278319960549,17,177,607
Tazewell County,Illinois,78.5199329141939,17,179,957
Union County,Illinois,76.2223539248808,17,181,273
Vermilion County,Illinois,75.7481610363374,17,183,742
Wabash County,Illinois,78.1944127190549,17,185,90
Warren County,Illinois,78.3304332475068,17,187,200
Washington County,Illinois,78.9632115016959,17,189,18
Wayne County,Illinois,77.3103715515045,17,191,131
White County,Illinois,75.9287809980545,17,193,71
Whiteside County,Illinois,78.3845532660126,17,195,448
Will County,Illinois,79.921812556413,17,197,3135
Williamson County,Illinois,76.6909210597348,17,199,637
Winnebago County,Illinois,77.5903374684713,17,201,2606
Woodford County,Illinois,79.9406466571983,17,203,225
Adams County,Indiana,79.10863905292,18,001,92
Allen County,Indiana,78.1066249813074,18,003,2766
Bartholomew County,Indiana,77.6753588885786,18,005,430
Benton County,Indiana,78.1823302835969,18,007,79
Blackford County,Indiana,76.2251877006383,18,009,98
Boone County,Indiana,78.5670574486803,18,011,431
Brown County,Indiana,78.6794386182142,18,013,78
Carroll County,Indiana,79.6926703041251,18,015,152
Cass County,Indiana,77.2702341103603,18,017,209
Clark County,Indiana,75.8693438195699,18,019,888
Clay County,Indiana,76.0172593739849,18,021,175
Clinton County,Indiana,76.9633693566098,18,023,303
Crawford County,Indiana,75.6451586951159,18,025,18
Daviess County,Indiana,76.7996956119401,18,027,224
Dearborn County,Indiana,77.7137420823975,18,029,425
Decatur County,Indiana,77.000354211248,18,031,292
DeKalb County,Indiana,77.6776403096605,18,033,190
Delaware County,Indiana,76.4319953627186,18,035,976
Dubois County,Indiana,78.6910970555099,18,037,298
Elkhart County,Indiana,78.4433321079367,18,039,1460
Fayette County,Indiana,74.4521855377607,18,041,127
Floyd County,Indiana,76.8176948594496,18,043,849
Fountain County,Indiana,76.7105769389428,18,045,128
Franklin County,Indiana,78.2254029893972,18,047,155
Fulton County,Indiana,76.2220073610104,18,049,139
Gibson County,Indiana,77.62049806858,18,051,165
Grant County,Indiana,75.9964414967353,18,053,704
Greene County,Indiana,76.3394198477181,18,055,184
Hamilton County,Indiana,81.6931627446357,18,057,1883
Hancock County,Indiana,78.2981868024249,18,059,410
Harrison County,Indiana,77.4556101461271,18,061,202
Hendricks County,Indiana,79.6314471032762,18,063,847
Henry County,Indiana,76.0542793851489,18,065,445
Howard County,Indiana,76.186692766995,18,067,543
Huntington County,Indiana,77.5450425562246,18,069,255
Jackson County,Indiana,76.0547807074264,18,071,375
Jasper County,Indiana,77.7672342300838,18,073,264
Jay County,Indiana,76.4198285571374,18,075,117
Jefferson County,Indiana,75.7768041254993,18,077,247
Jennings County,Indiana,74.9696935965512,18,079,286
Johnson County,Indiana,78.2545698696458,18,081,1117
Knox County,Indiana,75.7855993912433,18,083,370
Kosciusko County,Indiana,78.3020568995406,18,085,583
LaGrange County,Indiana,79.3112813311658,18,087,258
Lake County,Indiana,76.7133301589113,18,089,4062
LaPorte County,Indiana,76.3948055967274,18,091,1100
Lawrence County,Indiana,76.0683507516692,18,093,390
Madison County,Indiana,76.0328094835292,18,095,1042
Marion County,Indiana,76.1909147593533,18,097,13292
Marshall County,Indiana,78.5467905471958,18,099,228
Martin County,Indiana,77.261458799746,18,101,64
Miami County,Indiana,77.2333003462506,18,103,279
Monroe County,Indiana,80.0168691239955,18,105,2126
Montgomery County,Indiana,77.419445363511,18,107,347
Morgan County,Indiana,76.8282192566051,18,109,440
Newton County,Indiana,76.7508054936571,18,111,119
Noble County,Indiana,77.454740064494,18,113,401
Ohio County,Indiana,77.7269593649938,18,115,35
Orange County,Indiana,76.2155820518532,18,117,183
Owen County,Indiana,76.0885361000219,18,119,124
Parke County,Indiana,78.3459316573547,18,121,75
Perry County,Indiana,77.1812657258562,18,123,109
Pike County,Indiana,76.8332914847443,18,125,34
Porter County,Indiana,78.5946487558035,18,127,837
Posey County,Indiana,78.8061867555354,18,129,128
Pulaski County,Indiana,76.2537873756355,18,131,47
Putnam County,Indiana,77.8000844162511,18,133,170
Randolph County,Indiana,77.1417378051397,18,135,133
Ripley County,Indiana,77.3828572144829,18,137,97
Rush County,Indiana,76.8591485989229,18,139,104
Saint Joseph County,Indiana,77.7811150058067,18,141,2477
Scott County,Indiana,72.9513784585624,18,143,285
Shelby County,Indiana,76.9469314443069,18,145,446
Spencer County,Indiana,78.8505057093868,18,147,78
Starke County,Indiana,74.5791222030702,18,149,113
Steuben County,Indiana,79.0697701372316,18,151,276
Sullivan County,Indiana,75.5209382384669,18,153,112
Switzerland County,Indiana,76.057542155507,18,155,71
Tippecanoe County,Indiana,79.1974373457372,18,157,2633
Tipton County,Indiana,78.1294539093809,18,159,85
Union County,Indiana,77.5249646694011,18,161,54
Vanderburgh County,Indiana,76.8276616371405,18,163,2549
Vermillion County,Indiana,75.3902120225868,18,165,105
Vigo County,Indiana,75.9322550202077,18,167,1312
Wabash County,Indiana,77.0951836327656,18,169,226
Warren County,Indiana,78.7531785602367,18,171,32
Warrick County,Indiana,78.8488658800924,18,173,291
Washington County,Indiana,75.3561602016912,18,175,239
Wayne County,Indiana,75.7210236000048,18,177,751
Wells County,Indiana,78.8164555188085,18,179,299
White County,Indiana,77.7295962861624,18,181,130
Whitley County,Indiana,79.0452963995149,18,183,228
Adair County,Iowa,78.7605442780773,19,001,43
Adams County,Iowa,78.5568813594229,19,003,25
Allamakee County,Iowa,79.7393992324402,19,005,78
Appanoose County,Iowa,77.6446453395507,19,007,110
Audubon County,Iowa,79.590956585313,19,009,15
Benton County,Iowa,80.6491700993739,19,011,161
Black Hawk County,Iowa,79.3735900737619,19,013,1456
Boone County,Iowa,78.8532742146027,19,015,131
Bremer County,Iowa,82.0704160642289,19,017,81
Buchanan County,Iowa,79.1836368917541,19,019,97
Buena Vista County,Iowa,80.6848193384376,19,021,170
Butler County,Iowa,79.6448067660733,19,023,94
Calhoun County,Iowa,79.2461472952856,19,025,35
Carroll County,Iowa,79.9016794961866,19,027,173
Cass County,Iowa,78.1408301639085,19,029,113
Cedar County,Iowa,81.0538144944642,19,031,67
Cerro Gordo County,Iowa,79.1761120092532,19,033,470
Cherokee County,Iowa,79.9593324257431,19,035,206
Chickasaw County,Iowa,80.2684114499224,19,037,78
Clarke County,Iowa,77.856849104424,19,039,89
Clay County,Iowa,79.8940807358669,19,041,167
Clayton County,Iowa,80.6318543193924,19,043,112
Clinton County,Iowa,78.2768236714948,19,045,462
Crawford County,Iowa,80.0381854163523,19,047,96
Dallas County,Iowa,81.8695091852878,19,049,476
Davis County,Iowa,79.0803253658714,19,051,35
Decatur County,Iowa,78.1249657479449,19,053,36
Delaware County,Iowa,80.6010298908814,19,055,98
Des Moines County,Iowa,78.6178138672673,19,057,310
Dickinson County,Iowa,80.6833645918765,19,059,66
Dubuque County,Iowa,80.0409424252503,19,061,806
Emmet County,Iowa,78.7914748803203,19,063,86
Fayette County,Iowa,79.2079257158097,19,065,148
Floyd County,Iowa,79.7533906447473,19,067,86
Franklin County,Iowa,80.3416972775274,19,069,29
Fremont County,Iowa,78.617035422691,19,071,70
Greene County,Iowa,79.0989780752994,19,073,71
Grundy County,Iowa,80.5719876988128,19,075,36
Guthrie County,Iowa,79.5630566148047,19,077,59
Hamilton County,Iowa,80.1830175394811,19,079,232
Hancock County,Iowa,80.611942135149,19,081,47
Hardin County,Iowa,79.6643908613779,19,083,182
Harrison County,Iowa,77.9255561892742,19,085,137
Henry County,Iowa,79.114200476486,19,087,214
Howard County,Iowa,79.8485843907778,19,089,37
Humboldt County,Iowa,79.9626426965249,19,091,122
Ida County,Iowa,79.0585037362516,19,093,23
Iowa County,Iowa,80.4890135788362,19,095,121
Jackson County,Iowa,78.7927729440258,19,097,138
Jasper County,Iowa,79.679281386481,19,099,252
Jefferson County,Iowa,80.5375633016688,19,101,140
Johnson County,Iowa,82.1844619705219,19,103,1508
Jones County,Iowa,80.4953758790235,19,105,108
Keokuk County,Iowa,79.9374405823347,19,107,51
Kossuth County,Iowa,81.3548113270652,19,109,133
Lee County,Iowa,76.9093007291384,19,111,324
Linn County,Iowa,80.3734841779471,19,113,2119
Louisa County,Iowa,78.9730880153079,19,115,63
Lucas County,Iowa,78.5851293938875,19,117,79
Lyon County,Iowa,81.148179863915,19,119,22
Madison County,Iowa,79.6420925599423,19,121,102
Mahaska County,Iowa,79.6022227539185,19,123,218
Marion County,Iowa,79.1450118292749,19,125,188
Marshall County,Iowa,78.0445772470682,19,127,329
Mills County,Iowa,78.3787233326155,19,129,58
Mitchell County,Iowa,80.9629944583236,19,131,25
Monona County,Iowa,77.2080652922631,19,133,90
Monroe County,Iowa,77.6385536835239,19,135,93
Montgomery County,Iowa,77.6066167054178,19,137,38
Muscatine County,Iowa,78.6910323238503,19,139,398
O'Brien County,Iowa,79.7436127895147,19,141,69
Osceola County,Iowa,79.8812026689713,19,143,33
Page County,Iowa,78.2319295523827,19,145,65
Palo Alto County,Iowa,78.9326403619784,19,147,60
Plymouth County,Iowa,80.5580434613828,19,149,159
Pocahontas County,Iowa,79.0080443171667,19,151,38
Polk County,Iowa,79.1754143849637,19,153,4061
Pottawattamie County,Iowa,78.0415384502436,19,155,824
Poweshiek County,Iowa,79.6932079753112,19,157,152
Ringgold County,Iowa,78.4221074278507,19,159,32
Sac County,Iowa,79.5272165554243,19,161,25
Scott County,Iowa,79.1499528008644,19,163,1525
Shelby County,Iowa,80.6377713275269,19,165,58
Sioux County,Iowa,82.7612252358714,19,167,95
Story County,Iowa,82.2541933418442,19,169,969
Tama County,Iowa,79.153842170556,19,171,129
Taylor County,Iowa,79.3234526473165,19,173,30
Union County,Iowa,78.083341899027,19,175,86
Van Buren County,Iowa,78.1376478488718,19,177,9
Wapello County,Iowa,77.2596943299344,19,179,411
Warren County,Iowa,79.8319844812265,19,181,304
Washington County,Iowa,80.0296148725653,19,183,95
Wayne County,Iowa,77.9069421572314,19,185,32
Webster County,Iowa,77.4897411949446,19,187,247
Winnebago County,Iowa,80.3397618258079,19,189,39
Winneshiek County,Iowa,82.3930684122002,19,191,126
Woodbury County,Iowa,78.0233128429221,19,193,1323
Worth County,Iowa,79.5973204812741,19,195,25
Wright County,Iowa,80.1111034736425,19,197,104
Allen County,Kansas,75.7456016642854,20,001,128
Anderson County,Kansas,78.0583821521914,20,003,44
Atchison County,Kansas,77.1504931865396,20,005,137
Barber County,Kansas,77.1977168973389,20,007,15
Barton County,Kansas,78.1535671040513,20,009,120
Bourbon County,Kansas,76.2854403262409,20,011,72
Brown County,Kansas,76.9812546175143,20,013,148
Butler County,Kansas,77.8251955223233,20,015,477
Chase County,Kansas,78.4145984726479,20,017,18
Chautauqua County,Kansas,76.3346180527011,20,019,29
Cherokee County,Kansas,74.6605686182445,20,021,104
Cheyenne County,Kansas,79.6657253219841,20,023,39
Clark County,Kansas,78.7761348381694,20,025,4
Clay County,Kansas,79.3155442773043,20,027,128
Cloud County,Kansas,77.3372183424685,20,029,96
Coffey County,Kansas,77.097468868888,20,031,83
Comanche County,Kansas,76.5891534858085,20,033,43
Cowley County,Kansas,75.7334693099381,20,035,367
Crawford County,Kansas,76.3057239132614,20,037,634
Decatur County,Kansas,79.1376102801554,20,039,28
Dickinson County,Kansas,77.9415010982874,20,041,272
Doniphan County,Kansas,78.6141829095255,20,043,91
Douglas County,Kansas,80.6223100312615,20,045,1291
Edwards County,Kansas,77.437540836725,20,047,20
Elk County,Kansas,76.5425902788036,20,049,22
Ellis County,Kansas,79.5002510274274,20,051,331
Ellsworth County,Kansas,78.2155842277977,20,053,58
Finney County,Kansas,79.4701987982048,20,055,182
Ford County,Kansas,78.5103828841101,20,057,116
Franklin County,Kansas,77.7326210452103,20,059,394
Geary County,Kansas,76.5520605133894,20,061,382
Gove County,Kansas,79.7026220074315,20,063,12
Graham County,Kansas,79.6215240756737,20,065,17
Grant County,Kansas,78.5520497002638,20,067,149
Gray County,Kansas,79.1125050506102,20,069,35
Greeley County,Kansas,77.279476836115,20,071,0
Greenwood County,Kansas,76.0226404951917,20,073,45
Hamilton County,Kansas,76.7582074560122,20,075,26
Harper County,Kansas,76.2078805872183,20,077,41
Harvey County,Kansas,78.6615919428302,20,079,324
Haskell County,Kansas,79.3283007326473,20,081,9
Hodgeman County,Kansas,79.3734751905449,20,083,20
Jackson County,Kansas,78.2216025523955,20,085,103
Jefferson County,Kansas,78.7516709491591,20,087,55
Jewell County,Kansas,79.0035785746987,20,089,9
Johnson County,Kansas,81.5867012206082,20,091,5288
Kearny County,Kansas,77.8907643634897,20,093,15
Kingman County,Kansas,76.0055896995841,20,095,15
Kiowa County,Kansas,78.9243444142467,20,097,21
Labette County,Kansas,75.689096203584,20,099,200
Lane County,Kansas,77.3616568405227,20,101,4
Leavenworth County,Kansas,78.9239494251314,20,103,487
Lincoln County,Kansas,79.1308749905149,20,105,9
Linn County,Kansas,77.4007527105963,20,107,60
Logan County,Kansas,78.7689299293396,20,109,22
Lyon County,Kansas,78.4198020871217,20,111,400
McPherson County,Kansas,78.6348894981866,20,113,240
Marion County,Kansas,78.6246839087988,20,115,65
Marshall County,Kansas,79.1787437971039,20,117,53
Meade County,Kansas,78.9529578654015,20,119,45
Miami County,Kansas,78.9959941157408,20,121,160
Mitchell County,Kansas,78.6097725548086,20,123,28
Montgomery County,Kansas,75.3982622227074,20,125,325
Morris County,Kansas,78.6609828704592,20,127,53
Morton County,Kansas,77.2933023413455,20,129,59
Nemaha County,Kansas,79.7719740061442,20,131,67
Neosho County,Kansas,76.755450035774,20,133,259
Ness County,Kansas,78.6010251872461,20,135,6
Norton County,Kansas,79.0986802177561,20,137,44
Osage County,Kansas,77.7131825199691,20,139,130
Osborne County,Kansas,78.2756639650454,20,141,11
Ottawa County,Kansas,77.4322416400935,20,143,35
Pawnee County,Kansas,78.1007669141943,20,145,89
Phillips County,Kansas,78.2187309585589,20,147,27
Pottawatomie County,Kansas,79.9509984873056,20,149,88
Pratt County,Kansas,77.6921346587163,20,151,70
Rawlins County,Kansas,79.1283792229379,20,153,21
Reno County,Kansas,77.8903584400063,20,155,664
Republic County,Kansas,78.4787187962831,20,157,26
Rice County,Kansas,76.8711925734521,20,159,44
Riley County,Kansas,81.3715194752047,20,161,1040
Rooks County,Kansas,78.3120928233758,20,163,40
Rush County,Kansas,77.8988005800046,20,165,20
Russell County,Kansas,78.5145373760544,20,167,4
Saline County,Kansas,78.1704293082708,20,169,512
Scott County,Kansas,78.5627686652649,20,171,0
Sedgwick County,Kansas,77.6733449756353,20,173,5399
Seward County,Kansas,78.6347244402381,20,175,208
Shawnee County,Kansas,77.6688389578252,20,177,2182
Sheridan County,Kansas,79.7943373498445,20,179,36
Sherman County,Kansas,77.516984994898,20,181,34
Smith County,Kansas,79.0627811265411,20,183,11
Stafford County,Kansas,77.1824423958935,20,185,14
Stanton County,Kansas,78.9906303111057,20,187,9
Stevens County,Kansas,78.9106161997635,20,189,35
Sumner County,Kansas,76.8333564746614,20,191,201
Thomas County,Kansas,79.3598170027844,20,193,58
Trego County,Kansas,78.5971100115041,20,195,6
Wabaunsee County,Kansas,78.8903440815747,20,197,38
Wallace County,Kansas,79.3895270451535,20,199,4
Washington County,Kansas,79.4062152657966,20,201,15
Wichita County,Kansas,79.0281555988547,20,203,3
Wilson County,Kansas,75.6740580994789,20,205,33
Woodson County,Kansas,76.3196155757124,20,207,12
Wyandotte County,Kansas,75.6788047893435,20,209,1747
Adair County,Kentucky,76.8951273884187,21,001,128
Allen County,Kentucky,75.5537560118933,21,003,67
Anderson County,Kentucky,76.6689800272318,21,005,132
Ballard County,Kentucky,75.1249448879756,21,007,73
Barren County,Kentucky,76.2181002388888,21,009,341
Bath County,Kentucky,73.6919354847708,21,011,47
Bell County,Kentucky,72.1545932485008,21,013,337
Boone County,Kentucky,78.9787600807626,21,015,724
Bourbon County,Kentucky,76.148520208131,21,017,217
Boyd County,Kentucky,75.286820982908,21,019,637
Boyle County,Kentucky,77.1462163595648,21,021,481
Bracken County,Kentucky,74.8446210398713,21,023,89
Breathitt County,Kentucky,70.0415135650985,21,025,78
Breckinridge County,Kentucky,75.6507406495333,21,027,209
Bullitt County,Kentucky,78.4187380405662,21,029,494
Butler County,Kentucky,75.0760325204733,21,031,44
Caldwell County,Kentucky,75.4563764083961,21,033,108
Calloway County,Kentucky,77.0999511193579,21,035,453
Campbell County,Kentucky,77.2566845266223,21,037,857
Carlisle County,Kentucky,75.6041427230956,21,039,16
Carroll County,Kentucky,73.2590590509219,21,041,110
Carter County,Kentucky,74.7136005684046,21,043,141
Casey County,Kentucky,74.6275677580659,21,045,51
Christian County,Kentucky,75.3410818188128,21,047,1203
Clark County,Kentucky,75.3869072888123,21,049,354
Clay County,Kentucky,71.6387957521678,21,051,62
Clinton County,Kentucky,73.8631933008376,21,053,64
Crittenden County,Kentucky,74.5557027872821,21,055,6
Cumberland County,Kentucky,73.920137220099,21,057,84
Daviess County,Kentucky,77.1597737928846,21,059,835
Edmonson County,Kentucky,77.0390623633687,21,061,67
Elliott County,Kentucky,75.5980470389881,21,063,41
Estill County,Kentucky,72.7582824254055,21,065,87
Fayette County,Kentucky,78.4904824391869,21,067,4337
Fleming County,Kentucky,73.9729178875857,21,069,130
Floyd County,Kentucky,71.5768261599747,21,071,236
Franklin County,Kentucky,76.5156574529496,21,073,462
Fulton County,Kentucky,72.730042355421,21,075,68
Gallatin County,Kentucky,72.9563859777985,21,077,65
Garrard County,Kentucky,77.6303146171834,21,079,154
Grant County,Kentucky,74.6936022231672,21,081,165
Graves County,Kentucky,75.8077427780724,21,083,210
Grayson County,Kentucky,74.203757171922,21,085,206
Green County,Kentucky,76.2308931842454,21,087,123
Greenup County,Kentucky,75.6280139153187,21,089,180
Hancock County,Kentucky,76.9052312418095,21,091,23
Hardin County,Kentucky,77.274197955433,21,093,1444
Harlan County,Kentucky,71.0630213845707,21,095,175
Harrison County,Kentucky,74.7897773768268,21,097,168
Hart County,Kentucky,74.9852122897416,21,099,130
Henderson County,Kentucky,76.0040643726601,21,101,521
Henry County,Kentucky,75.3369902764808,21,103,157
Hickman County,Kentucky,76.0514933400692,21,105,38
Hopkins County,Kentucky,74.4535311676816,21,107,342
Jackson County,Kentucky,72.8152323363802,21,109,102
Jefferson County,Kentucky,76.6103484991577,21,111,9053
Jessamine County,Kentucky,77.567987074532,21,113,371
Johnson County,Kentucky,72.710308234689,21,115,200
Kenton County,Kentucky,76.396194448502,21,117,1458
Knott County,Kentucky,72.5640164701593,21,119,121
Knox County,Kentucky,72.9002154045939,21,121,289
Larue County,Kentucky,76.1120641645342,21,123,156
Laurel County,Kentucky,75.0464481736786,21,125,464
Lawrence County,Kentucky,73.3012000044671,21,127,81
Lee County,Kentucky,71.2206644427907,21,129,41
Leslie County,Kentucky,71.0435658901931,21,131,29
Letcher County,Kentucky,72.1227170347455,21,133,71
Lewis County,Kentucky,74.0857570285331,21,135,55
Lincoln County,Kentucky,74.8709717233835,21,137,200
Livingston County,Kentucky,74.8750058070676,21,139,55
Logan County,Kentucky,75.7509910871707,21,141,228
Lyon County,Kentucky,76.479913302617,21,143,30
McCracken County,Kentucky,75.9825596618081,21,145,857
McCreary County,Kentucky,72.6023149390992,21,147,80
McLean County,Kentucky,75.0159964761838,21,149,48
Madison County,Kentucky,76.8595000070909,21,151,1159
Magoffin County,Kentucky,72.5268484582371,21,153,52
Marion County,Kentucky,76.0971102267259,21,155,208
Marshall County,Kentucky,75.8141217191829,21,157,118
Martin County,Kentucky,72.6005125595288,21,159,58
Mason County,Kentucky,74.4527109111077,21,161,150
Meade County,Kentucky,76.7511220573896,21,163,229
Menifee County,Kentucky,74.4094075459957,21,165,39
Mercer County,Kentucky,75.6375088727127,21,167,155
Metcalfe County,Kentucky,74.2303398111707,21,169,43
Monroe County,Kentucky,73.3186625629932,21,171,149
Montgomery County,Kentucky,75.4898032131249,21,173,171
Morgan County,Kentucky,75.5688342625836,21,175,85
Muhlenberg County,Kentucky,74.9144810295916,21,177,199
Nelson County,Kentucky,76.8244420007598,21,179,396
Nicholas County,Kentucky,73.4454692277164,21,181,62
Ohio County,Kentucky,75.2537579030894,21,183,106
Oldham County,Kentucky,79.4910062885771,21,185,218
Owen County,Kentucky,76.3288572421427,21,187,40
Owsley County,Kentucky,70.2448990291587,21,189,15
Pendleton County,Kentucky,75.1600836080674,21,191,79
Perry County,Kentucky,70.0268114453256,21,193,102
Pike County,Kentucky,72.3366052832354,21,195,566
Powell County,Kentucky,71.1481319366748,21,197,118
Pulaski County,Kentucky,74.595312133057,21,199,524
Robertson County,Kentucky,74.4762924695745,21,201,25
Rockcastle County,Kentucky,74.2829677545348,21,203,83
Rowan County,Kentucky,75.4727492428198,21,205,180
Russell County,Kentucky,74.6366521713156,21,207,97
Scott County,Kentucky,77.9348798088865,21,209,256
Shelby County,Kentucky,78.4607953553432,21,211,353
Simpson County,Kentucky,75.525157548313,21,213,110
Spencer County,Kentucky,77.5118474486824,21,215,68
Taylor County,Kentucky,75.5893902473319,21,217,146
Todd County,Kentucky,75.2832604578378,21,219,72
Trigg County,Kentucky,76.3514383632774,21,221,82
Trimble County,Kentucky,75.4868164205629,21,223,60
Union County,Kentucky,74.5877597074006,21,225,157
Warren County,Kentucky,77.0764716072267,21,227,1303
Washington County,Kentucky,76.7484846769994,21,229,75
Wayne County,Kentucky,75.7058751542539,21,231,134
Webster County,Kentucky,74.4439979104049,21,233,179
Whitley County,Kentucky,71.7505626864631,21,235,235
